MONTH,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS,BOROUGH_ID
2020 / 05,Brooklyn,07,3395.3,415.9,440.0,1.3,,,,3
2020 / 08,Brooklyn,07,3722.6,424.6,457.7,,,,,3
2020 / 03,Brooklyn,07,3052.6,421.9,425.8,57.1,68.5,,,3
2020 / 07,Staten Island,03,6772.4,900.7,960.4,,,,,5
2020 / 12,Queens,05,5191.7,794.5,918.7,,,,,4
2020 / 07,Brooklyn,18,6732.9,679.8,857.7,,,,,3
2020 / 05,Queens,13,6563.7,474.0,1065.8,19.3,,,,4
2020 / 09,Queens,13,6561.8,520.0,985.4,,,,,4
2021 / 03,Queens,13,5638.9,455.7,950.8,,,,,4
2020 / 05,Staten Island,01,6495.4,651.4,925.8,12.3,,,,5
2021 / 02,Staten Island,01,4009.7,480.9,563.4,,,,,5
2020 / 04,Queens,01,3888.5,607.4,768.9,,,,,4
2020 / 11,Queens,01,4221.7,641.8,657.0,,,,,4
2020 / 01,Queens,01,3935.7,662.1,696.1,,,,42.0,4
2021 / 03,Queens,01,4285.6,669.3,714.4,,,,,4
2020 / 07,Brooklyn,15,4937.5,599.2,598.6,,,,,3
2020 / 07,Queens,09,4904.7,517.0,770.5,,,,,4
2020 / 02,Brooklyn,05,3871.4,212.0,343.6,,,,,3
2021 / 02,Brooklyn,05,3980.1,237.7,349.4,,,,,3
2020 / 04,Brooklyn,06,1865.0,500.2,479.3,105.5,,,,3
2020 / 06,Brooklyn,06,2357.8,544.4,488.0,,,,,3
2020 / 04,Queens,03,4465.5,335.6,567.5,,,,,4
2020 / 11,Bronx,12,4292.3,386.7,572.6,,,,,2
2021 / 01,Bronx,12,3697.3,418.6,625.2,,,3.4,8.1,2
2020 / 12,Bronx,12,4174.0,488.3,684.6,,,,,2
2020 / 01,Staten Island,02,3946.9,586.0,534.8,,46.2,,26.7,5
2020 / 08,Staten Island,02,5021.5,533.7,710.5,,,,,5
2020 / 11,Queens,07,7212.0,760.5,760.6,,,,,4
2021 / 02,Queens,07,5389.6,665.2,659.7,,,,,4
2020 / 12,Queens,07,6902.1,949.7,896.9,,,,,4
2020 / 02,Brooklyn,14,4062.5,429.5,360.5,,58.4,,,3
2020 / 08,Brooklyn,14,5137.8,474.8,506.7,,,,,3
2020 / 09,Brooklyn,13,2349.3,204.3,261.1,,,,,3
2021 / 01,Brooklyn,13,2035.1,207.3,260.1,,,,3.7,3
2020 / 01,Queens,02,2927.0,461.1,438.2,75.0,66.8,,22.8,4
2021 / 02,Queens,02,2648.2,392.1,386.2,,,,,4
2020 / 06,Queens,04,4630.9,402.8,573.4,,,,,4
2020 / 11,Queens,04,4148.6,335.9,546.4,,,,,4
2020 / 03,Queens,04,3948.8,315.7,428.0,,,,,4
2020 / 11,Brooklyn,12,6513.2,655.3,359.1,,,,,3
2021 / 02,Brooklyn,12,5808.0,634.2,355.2,,,,,3
2020 / 02,Queens,14,2367.0,212.7,234.0,49.8,,,,4
2020 / 01,Brooklyn,02,2450.4,582.7,463.8,80.7,42.1,,52.5,3
2020 / 04,Brooklyn,02,2007.9,450.1,466.0,81.2,,,,3
2020 / 11,Brooklyn,02,2638.5,500.7,422.8,,,,,3
2020 / 02,Brooklyn,02,2255.0,479.1,382.4,62.0,27.6,,,3
2021 / 04,Brooklyn,02,655.0,135.2,107.1,,,,,3
2020 / 08,Bronx,11,3655.9,281.5,468.0,,,,,2
2020 / 09,Bronx,11,3443.4,281.5,447.6,,,,,2
2020 / 06,Bronx,11,3745.5,345.4,521.1,,,,,2
2020 / 03,Queens,11,2685.3,459.8,468.4,137.6,38.7,,,4
2021 / 01,Queens,11,2700.7,478.2,463.9,,,,18.0,4
2021 / 04,Queens,11,750.7,105.2,109.8,,,,,4
2021 / 02,Queens,08,2949.3,383.2,358.1,,,,,4
2021 / 01,Queens,08,3487.0,477.6,433.2,,,3.8,7.2,4
2020 / 07,Brooklyn,10,3906.2,532.2,555.0,,,,,3
2020 / 08,Brooklyn,10,3815.1,484.6,515.6,,,,,3
2020 / 06,Brooklyn,17,5294.7,392.5,607.7,,,,,3
2021 / 03,Brooklyn,17,4746.1,351.2,490.7,,,,,3
2020 / 08,Queens,06,3180.1,421.7,424.6,,,,,4
